Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","008","Albania","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1990","1990","","14.27","E","Estimated value"
"QI","Production Indices","008","Albania","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1993","1993","","10.9","E","Estimated value"
"QI","Production Indices","008","Albania","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1994","1994","","10.35","E","Estimated value"
"QI","Production Indices","008","Albania","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1995","1995","","10.9","E","Estimated value"
"QI","Production Indices","008","Albania","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1996","1996","","10.9","E","Estimated value"
"QI","Production Indices","008","Albania","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1997","1997","","12.31","E","Estimated value"
"QI","Production Indices","008","Albania","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1998","1998","","12.53","E","Estimated value"
"QI","Production Indices","008","Albania","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1999","1999","","12.86","E","Estimated value"
"QI","Production Indices","008","Albania","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2000","2000","","13.08","E","Estimated value"
"QI","Production Indices","008","Albania","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2001","2001","","17.21","E","Estimated value"
"QI","Production Indices","008","Albania","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2002","2002","","17.22","E","Estimated value"
"QI","Production Indices","008","Albania","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2003","2003","","14.49","E","Estimated value"
"QI","Production Indices","008","Albania","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2004","2004","","16.34","E","Estimated value"
"QI","Production Indices","008","Albania","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2005","2005","","17.43","E","Estimated value"
"QI","Production Indices","008","Albania","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2006","2006","","30.04","E","Estimated value"
"QI","Production Indices","008","Albania","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2007","2007","","39.23","E","Estimated value"
"QI","Production Indices","008","Albania","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2008","2008","","49.03","E","Estimated value"
"QI","Production Indices","008","Albania","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2009","2009","","51.43","E","Estimated value"
"QI","Production Indices","008","Albania","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2010","2010","","59.5","E","Estimated value"
"QI","Production Indices","008","Albania","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2011","2011","","69.74","E","Estimated value"
"QI","Production Indices","008","Albania","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2012","2012","","77.69","E","Estimated value"
