STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,D_COUNTRY,Country,FREQUENCY,Frequency,D_SOURCE_CATEGORIES,Source Categories,D_SUBSTANCES,Substances,D_UNIT,Unit,TIME_PERIOD,Time,OBS_VALUE,Measurement,OBS_STATUS,Status,FOOTNOTE,Footnote,OBS_COMMENT,Comment,DECIMALS,Decimals
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,1990,,133689.558746,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,1991,,127416.624487,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,1992,,123511.523443,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,1993,,124408.128172,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,1994,,119595.595814,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,1995,,116975.427645,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,1996,,113908.381816,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,1997,,108702.557602,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,1998,,102920.684457,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,1999,,101718.517908,,,,,,,,2,
