Entity,Code,Year,Buildings,Industry,Land-use change and forestry,Other fuel combustion,Transport,Manufacturing and construction,Fugitive emissions,Electricity and heat,Aviation and shipping
Italy,ITA,1990,66980004,15480000,-34610000,8880000,96070000,74030000,,143460000,13070000
Italy,ITA,1991,73060000,15330000,-34610000,8420000,97930000,69940000,,139020000,13300000
Italy,ITA,1992,68150000,16049999,-34610000,8670000,102960000,67780000,,138270000,13000000
Italy,ITA,1993,67770000,13740000,-34610000,9510000,104850000,65809996,,134910000,13110000
Italy,ITA,1994,59220000,13470000,-34610000,9650000,104610000,67520000,,137500000,13030000
Italy,ITA,1995,65769996,14960000,-34610000,9870000,106890000,68520000,,150060000,13620000
Italy,ITA,1996,67520000,13670000,-34610000,9670000,108660000,66900000,,145420000,12460000
Italy,ITA,1997,65019996,13910000,-34610000,9370000,110250000,68980000,,147660000,12970000
Italy,ITA,1998,68710000,14200000,-34610000,9430000,113420000,68720000,,151520000,14240000
Italy,ITA,1999,72940000,14930000,-34610000,9170000,116260000,71910000,,147450000,12480000
Italy,ITA,2000,69190000,15860000,-34610000,8630000,116360000,73350000,,152900000,13770000
Italy,ITA,2001,72920000,16389999,-34800000,8660000,118490000,70870000,,149240000,13380000
Italy,ITA,2002,68960000,16290001,-34800000,8620000,120750000,69960000,,158900000,13890000
Italy,ITA,2003,73690000,16940000,-34800000,8800000,121810000,76460000,,164500000,15410000
Italy,ITA,2004,75550000,17410000,-34800000,8810000,124040000,68280000,,178320000,15670000
Italy,ITA,2005,80300000,17400000,-34800000,8940000,122960000,66460000,,177760000,16209999
Italy,ITA,2006,74710000,17470000,-34800000,8740000,124260000,61760000,,179720000,17140000
Italy,ITA,2007,68440000,17910000,-34800000,8279999,124730000,60540000,,179470000,17980000
Italy,ITA,2008,72450000,16129999,-34800000,7970000,117930000,56960000,,173550000,18000000
Italy,ITA,2009,73200000,13340000,-34800000,8080000,111840000,43220000,,147370000,16549999
Italy,ITA,2010,76150000,13280000,-34800000,7720000,109190000,45790000,,153130000,19080000
Italy,ITA,2011,70390000,12580000,-15020000,7530000,109150000,45030000,,152010000,17780000
Italy,ITA,2012,69570000,10070000,-15020000,7250000,102510000,43320000,,144030000,17250000
Italy,ITA,2013,69040000,8880000,-15020000,7110000,100720000,38080000,10000,122620000,16020000
Italy,ITA,2014,57790000,8340000,-15020000,7110000,105390000,35120000,0,113740000,15380000
Italy,ITA,2015,63590000,8200000,-15020000,7320000,103010000,34850000,0,120890000,15600000
Italy,ITA,2016,63650000,7680000,-22190000,7450000,101710000,34650000,0,118190000,16990000
Italy,ITA,2017,63460000,7710000,-22190000,7300000,97610000,31920000,0,121190000,17650000
Italy,ITA,2018,63580000,7760000,-22190000,7720000,100200000,32230000,0,113400000,20230000
Italy,ITA,2019,61550000,7910000,-22200000,7210000,100920000,31170000,0,108460000,20400000
Italy,ITA,2020,59830000,7060000,-22200000,7180000,80670000,29480000,0,97060000,12300000
Italy,ITA,2021,61570000,7920000,54200000,7760000,98120000,42010000,0,97310000,12940000
Italy,ITA,2022,53120000,7090000,54200000,7730000,103830000,38800000,,106810000,16420000
Italy,ITA,2023,49220000,6860000,54200000,7450000,104780000,36220000,,86430000,18060000
